"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Court","Civil/Criminal","Prosecution Agreement","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent","Info Source","Info Source Archive URL","PACER Link","Captured Document","EPA/OSHA More Info Link","Notes"
"Mayo Foundation","Mayo Clinic","$6,500,000","$0","$6,500,000","2005","20050526","False Claims Act","","The Mayo Foundation, parent organization of the Mayo Clinic, paid the United States $6.5 million to resolve allegations that it charged the government under federal grants for research costs unrelated to the research projects sponsored by those grants.","federal","agency action","Justice Department Civil Division","","civil","","","","","Minnesota","","","","","","USA","Minnesota","non-profit","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2005/May/05_civ_292.htm","","","","",""
"BROOKDALE SENIOR LIVING, INC.","Brookdale Senior Living","$5,950","$0","$5,950","2013","20130802","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","339248239","","","Ohio","AUSTINTOWN","1420 SOUTH CANFIELD NILES RD.","44515","623110","623110: Nursing Care Facilities","USA","Tennessee","publicly traded","healthcare services","healthcare services","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=924823.015",""
"McLaren Health Care Corporation","McLaren Health Care","$3,425,000","$0","$3,425,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Michigan","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Mease Dunedin Hospital","Trinity Health","$11,383","$0","$11,383","2010","20100611","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","12-CA-26606-001","","","Florida","Dunedin","","34698","622110","622110: General Medical and Surgical Hospitals","USA","Michigan","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Medco Health Solutions","Express Scripts","$155,000,000","$0","$155,000,000","2006","20061023","False Claims Act","kickbacks and bribery","Medco Health Solutions agreed to pay the United States $155 million plus interest to settle allegations that the Parsippany, N.J.-based company submitted false claims to the government, solicited and accepted kickbacks from pharmaceutical manufacturers to favor their drugs, and paid kickbacks to health plans to obtain business. ","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Missouri","publicly traded","healthcare services","pharmacy services","https://www.justice.gov/archive/opa/pr/2006/October/06_civ_722.html","","","","",""
"Medco Health Solutions Inc.","Express Scripts","$7,900,000","$0","$7,900,000","2015","20150520","False Claims Act","kickbacks and bribery","Medco Health Solutions Inc., a wholly-owned subsidiary of the pharmacy benefit manager Express Scripts Holding Company, agreed to pay $7.9 million to settle allegations that it engaged in a kickback scheme in violation of the False Claims Act.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Missouri","publicly traded","healthcare services","pharmacy services","https://www.justice.gov/opa/pr/medco-pay-79-million-resolve-kickback-allegations","screenshot_191906.png","","","",""
"MEDCO HEALTH SOLUTIONS OF COLUMBUS WEST, LTD","Express Scripts","$31,562","$0","$31,562","2009","20090303","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","09-CA-44001-001","","","Ohio","Columbus","","43228","424210","424210: Drugs and Druggists' Sundries Merchant Wholesalers","USA","Missouri","publicly traded","healthcare services","pharmacy services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Medco Health Solutions of Las Vegas, Inc.","Express Scripts","$2,204,000","$0","$2,204,000","2006","20060531","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","28-CA-20516-001","","","Nevada","Las Vegas","","89120","446110","446110: Pharmacies and Drug Stores","USA","Missouri","publicly traded","healthcare services","pharmacy services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Medco Health Solutions of Las Vegas, Inc.","Express Scripts","$27,742","$0","$27,742","2007","20070727","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","28-CA-21281-001","","","Nevada","Las Vegas","","89120","446110","446110: Pharmacies and Drug Stores","USA","Missouri","publicly traded","healthcare services","pharmacy services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Medical Center of Central Georgia","Navicent Health","$20,000,000","$0","$20,000,000","2015","20150427","False Claims Act","","The Medical Center of Central Georgia agreed to pay $20 million to settle allegations that the hospital violated the False Claims Act by billing Medicare for more expensive inpatient services that should have been billed as less costly outpatient or observation services.","federal","agency action","Justice Department Civil Division","","civil","","","","","Georgia","","","","","","USA","Georgia","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/georgia-hospital-pay-20-million-resolve-false-claims-act-allegations","screenshot_193729.png","","","",""
"Medical Center of Central Georgia, Inc","Navicent Health","$1,600,000","$0","$1,600,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","Georgia","Macon","","","","","USA","Georgia","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"MedStar Health, Inc.","MedStar Health","$5,000,000","$0","$5,000,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Maryland","non-profit","healthcare services","healthcare services","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"MedStar Health Visiting Nurse Association, Inc.,","MedStar Health","$1,360,000","$0","$1,360,000","2005","20050509","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","","civil","","","","","District of Columbia","","","","","","USA","Maryland","non-profit","healthcare services","healthcare services","FOIA296","FOIA296.pdf","","","","Source document obtained through a Freedom of Information Act request to the agency."
"Medsynergies, Incorporated","UnitedHealth Group","$65,959","$0","$65,959","2013","20130414","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1690754","","","Texas","Irving","","75038","624190","624190: Other Individual and Family Services","USA","Minnesota","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Memorial Hermann Health System","Memorial Hermann Health System","$4,900,000","$0","$4,900,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"MEMORIAL HERMANN HOSPITAL SYSTEM","Memorial Hermann Health System","$9,450","$0","$9,450","2015","20150114","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","","civil","","","","","","","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","10002.pdf","","","",""
"Memorial Hospital","ProMedica","$8,500,000","$0","$8,500,000","2014","20140313","False Claims Act","kickbacks and bribery","Memorial Hospital, an Ohio nonprofit corporation that operates an acute care hospital in Fremont, Ohio, agreed to pay $8.5 million to settle claims that it violated the False Claims Act, the Anti-Kickback Statute and the Stark Statute by engaging in improper financial relationships with referring physicians.","federal","agency action","Justice Department Civil Division","","civil","","","","","Ohio","Fremont","","","","","USA","Ohio","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/memorial-hospital-ohio-pays-government-85-million-settle-false-claims-act-allegations","screenshot_193790.png","","","",""
"Merck Medco","Express Scripts","$12,000","$0","$12,000","2003","20030814","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","16-CA-22619-001","","","Texas","Fort Worth","","76155","446110","446110: Pharmacies and Drug Stores","USA","Missouri","publicly traded","healthcare services","pharmacy services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Merck-Medco Rx Services","Express Scripts","$9,000","$0","$9,000","2002","20020319","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","16-CA-21066-001","","","Texas","Fort Worth","","76155","424210","424210: Drugs and Druggists' Sundries Merchant Wholesalers","USA","Missouri","publicly traded","healthcare services","pharmacy services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Mercy Health f/k/a Catholic Health Partners","Mercy Health","$4,500,000","$0","$4,500,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Ohio","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Mercy Health f/k/a Sisters of Mercy Health System","Mercy (Sisters of Mercy Health System)","$1,110,000","$0","$1,110,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Missouri","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Mercy Health Partners, Hackley Campus","Trinity Health","$18,800","$0","$18,800","2015","20150814","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","07-CA-124263","","","Michigan","Muskegon","","","","","USA","Michigan","non-profit","healthcare services","hospitals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.","","","","",""
"Mercy Health Partners, Hackley Campus","Trinity Health","$9,085","$0","$9,085","2016","20160324","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","07-CA-139776","","","Michigan","Muskegon","","","","","USA","Michigan","non-profit","healthcare services","hospitals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.","","","","",""
"Mercy Health Partners, Hackley Campus","Trinity Health","$5,200","$0","$5,200","2013","20130724","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","07-CA-085923","","","Michigan","Muskegon","","","","","USA","Michigan","non-profit","healthcare services","hospitals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.","","","","",""
"Mercy Health Plans","Aetna","$16,970","$0","$16,970","2010","20101008","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/Mercy_CMP_10_08_10_Letter.pdf","194341.pdf","","","",""
"Mercy Health Springfield Communities","Mercy (Sisters of Mercy Health System)","$5,500,000","$0","$5,500,000","2015","20150813","False Claims Act","","Two Southwest Missouri health care providers agreed to pay the United States $5.5 million to settle allegations that they violated the False Claims Act by engaging in improper financial relationships with referring physicians.  The two providers were Mercy Health Springfield Communities, formerly known as St. John?s Health System Inc., which owns and operates a hospital in Springfield, Missouri, and its affiliate, Mercy Clinic Springfield Communities, formerly known as St. John?s Clinic, which operates health care facilities in southwest Missouri. ","federal","agency action","Justice Department Civil Division","","civil","","","","","Missouri","Springfield","","","","","USA","Missouri","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/missouri-hospital-agrees-pay-united-states-55-million-settle-alleged-false-claims-act","screenshot_193710.png","","","",""
"Mercy Health System of Oklahoma","Mercy (Sisters of Mercy Health System)","$59,483","$0","$59,483","2010","20101102","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1585853","","","Oklahoma","Ardmore","","73401","622110","622110: General Medical and Surgical Hospitals","USA","Missouri","non-profit","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Mercy Hospital Inc.","Mercy (Sisters of Mercy Health System)","$2,799,462","$0","$2,799,462","2010","20100219","False Claims Act","","Mercy Hospital Inc. (d/b/a Mercy Medical Center) of Springfield, Mass., agreed to pay the United States $2,799,462 to settle claims that it violated the False Claims Act between 2005 and 2006 by failing to provide, or failing to document that it provided, the minimum number of hours of rehabilitation therapy required under Medicare guidelines.","federal","agency action","Justice Department Civil Division","","civil","","","","","Massachusetts","Springfield","","","","","USA","Missouri","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/massachusetts-hospital-agrees-pay-us-279-million-resolve-false-claims-act-allegations","screenshot_194048.png","","","",""
"Mercy Hospital Springfield f/k/a St. John's Regional Health Center andMercy Clinic Springfield Communities f/k/a St. John's Clinic","Mercy (Sisters of Mercy Health System)","$34,000,000","$0","$34,000,000","2017","20170518","False Claims Act","kickbacks and bribery","Two Southwest Missouri health care providers agreed to pay the United States $34,000,000 to settle allegations that they violated the False Claims Act by engaging in improper financial relationships with referring physicians.","federal","agency action","Justice Department Civil Division","","civil","","","","","Missouri","Springfield","","","","","USA","Missouri","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/missouri-hospitals-agree-pay-united-states-34-million-settle-alleged-false-claims-act","","","","",""
"Mercy Memorial Hospital","ProMedica","$45,883","$0","$45,883","2010","20100825","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","07-CA-51882-001","","","Michigan","Monroe","","48162","622110","622110: General Medical and Surgical Hospitals","USA","Ohio","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Mercy Memorial Hospital  Corporation","ProMedica","$24,899","$0","$24,899","2004","20040614","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1361927","","","Michigan","Monroe","","48162","62211","62211: General Medical and Surgical Hospitals","USA","Ohio","non-profit","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BANNER HEALTH TORRINGTON COMMUNITY HOSPITAL","Banner Health","$6,841","$0","$6,841","2007","20071023","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","309500304","","","Wyoming","TORRINGTON","2000 CAMPBELL DRIVE","82240","622110","622110: General Medical and Surgical Hospitals","USA","Arizona","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=309500304",""
"BANNER HEALTH - WASHAKIE MEDICAL CENTER","Banner Health","$12,656","$0","$12,656","2007","20070529","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","309498624","","","Wyoming","WORLAND","400 SOUTH 15TH STREET","82401","623110","623110: Nursing Care Facilities","USA","Arizona","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=309498624",""
"CASTLE MEDICAL CENTER","Adventist Health (West)","$5,154","$0","$5,154","2006","20060324","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","309458149","","","Hawaii","KAILUA","640 ULUKAHIKI ST","96734","622110","622110: General Medical and Surgical Hospitals","USA","California","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=309458149",""
"Midstate Medical Center","Hartford HealthCare","$436,748","$0","$436,748","2017","20170418","HHS civil monetary penalties","","Midstate Medical Center entered into a $436,748 settlement agreement to resolve allegations that it submitted claims in which patients who received home health services within three days of the patients' release from Midstate were improperly coded as discharged rather than as a post-acute care transfer.","federal","agency action","Health & Human Services Department Office of Inspector General","","civil","","","","","Connecticut","","","","","","USA","Connecticut","non-profit","healthcare services","healthcare services","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp","","","","",""
"Midstate Medical Center","Hartford HealthCare","$5,022","$0","$5,022","2008","20080131","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","34-CA-11920-001","","","Connecticut","Meriden","","06451","622110","622110: General Medical and Surgical Hospitals","USA","Connecticut","non-profit","healthcare services","healthcare services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Millennium Health","Millennium Health","$256,000,000","$0","$256,000,000","2015","20151019","False Claims Act","","Millennium Health, formerly Millennium Laboratories, agreed to pay $256 million to resolve alleged violations of the False Claims Act for billing Medicare, Medicaid and other federal health care programs for medically unnecessary urine drug and genetic testing and for providing free items to physicians who agreed to refer expensive laboratory testing business to Millennium.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","California","privately held","healthcare services","healthcare services","https://www.justice.gov/opa/pr/millennium-health-agrees-pay-256-million-resolve-allegations-unnecessary-drug-and-genetic","screenshot_193694.png","","","",""
"Preserve International","Neogen","$11,000","$0","$11,000","2004","20040603","environmental violation","","","federal","agency action","Environmental Protection Agency","","civil","","HQ-2001-5026","","","","","","","","","USA","Michigan","publicly traded","healthcare services","diagnostic kits and veterinary products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C download file updated by EPA on 1/13/2018, available at http://echo.epa.gov/tools/data-downloads#downloads","","","","https://echo.epa.gov/enforcement-case-report?id=HQ-2001-5026",""
"Molina Healthcare of New Mexico Inc.","Molina Healthcare","$701,855","$0","$701,855","2016","20160524","wage and hour violation","Fair Labor Standards Act","A Wage and Hour Division investigation found Molina Healthcare of New Mexico Inc. violated the overtime provisions of the Fair Labor Standards Act by incorrectly applyhing an exemption from the FLSA's overtime requirements, meant for salaried executive, administrative and professional employees, to case managers.","federal","agency action","Labor Department Wage and Hour Division","","civil","","","","","New Mexico","Albuquerque","","","","","USA","California","publicly traded","healthcare services","health insurance","https://www.dol.gov/newsroom/releases/whd/whd20160524-0","screenshot_669651.png","","","",""
"Molina Hospital Management, Inc.","Molina Healthcare","$15,706","$0","$15,706","2014","20141030","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1731842","","","California","Long Beach","","90805","6221","6221: General Medical and Surgical Hospitals","USA","California","publicly traded","healthcare services","health insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Molina Medical Centers","Molina Healthcare","$600,000","$0","$600,000","2001","20011231","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","","civil","","","","","California","","","","","","USA","California","publicly traded","healthcare services","health insurance","FOIA507","FOIA507.pdf","","","","Source document obtained through a Freedom of Information Act request to the agency."
"NEW YORK PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$9,300","$0","$9,300","2013","20130625","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","339155616","","","New York","NEW YORK","161 FORT WASHINGTON AVE.","10032","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=915561.015",""
"HUMANA INC.","Humana","$6,750","$0","$6,750","2005","20050929","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","309218360","","","Kentucky","LOUISVILLE","516-526 WEST MAIN","40202","524113","524113: Direct Life Insurance Carriers","USA","Kentucky","publicly traded","healthcare services","insurance; managed care","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=309218360",""
"KINDRED HEALTHCARE DBA AURORA CARE CENTER","Kindred Healthcare","$5,000","$0","$5,000","2006","20060201","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","309191831","","","Colorado","AURORA","10201 EAST 3RD AVE","80010","623110","623110: Nursing Care Facilities","USA","Kentucky","publicly traded","healthcare services","skilled nursing facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=309191831",""
"Morton Plant Mease BayCare Health SystemHospital","Trinity Health","$2,378,325","$0","$2,378,325","2013","20130702","False Claims Act","","Fifty-five hospitals in 21 states agreed to pay the United States a total of more than $34 million to settle allegations that they submitted false claims to Medicare for kyphoplasty, a minimally-invasive procedure used to treat certain spinal fractures that often are due to osteoporosis. ","federal","agency action","Justice Department Civil Division","","civil","","","","","Florida","","","","","","USA","Michigan","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/fifty-five-hospitals-pay-us-more-34-million-resolve-false-claims-act-allegations-related","screenshot_193836.png","","","",""
"Morton Plant Mease Health Care Inc.","Trinity Health","$10,169,114","$0","$10,169,114","2012","20121120","False Claims Act","","Morton Plant Mease Health Care Inc. and its affiliated hospitals agreed to pay $10,169,114 to the federal government to resolve allegations that they violated the False Claims Act by submitting false claims for services rendered to Medicare patients.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Michigan","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/group-owned-and-affiliated-florida-hospitals-agree-pay-us-101-million-resolve-false-claims","screenshot_193888.png","","","",""
"Mount Sinai Medical Center","Mount Sinai Medical Center","$1,900,000","$0","$1,900,000","2016","20160217","False Claims Act","","The Department of Justice announced that it  reached settlements with 51 hospitals in 15 states for more than $23 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","Florida","Miami Beach","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/fifty-one-hospitals-pay-united-states-more-23-million-resolve-false-claims-act-allegations","screenshot_193606.png","","","",""
"Mount Sinai Medical Center","Mount Sinai Medical Center","$1,846,194","$0","$1,846,194","2013","20130702","False Claims Act","","Fifty-five hospitals in 21 states agreed to pay the United States a total of more than $34 million to settle allegations that they submitted false claims to Medicare for kyphoplasty, a minimally-invasive procedure used to treat certain spinal fractures that often are due to osteoporosis. ","federal","agency action","Justice Department Civil Division","","civil","","","","","Florida","Miami","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/fifty-five-hospitals-pay-us-more-34-million-resolve-false-claims-act-allegations-related","screenshot_193836.png","","","",""
"SUNRISE ASSISTED LIVING","Revera","$7,000","$0","$7,000","2005","20050922","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","309025021","","","Illinois","FLOSSMOOR","19715 GOVERNORS HWY.","60422","623110","623110: Nursing Care Facilities","Canada","","privately held","healthcare services","assisted living facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=309025021",""
"Natera, Inc.","Natera Inc.","$28,544","$0","$28,544","2012","20120803","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1663241","","","California","San Carlos","","94070","62151","62151: Medical and Diagnostic Laboratories","USA","California","publicly traded","healthcare services","genetic diagnostics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"National Healthcare Corporation","National Healthcare Corp.","$27,000,000","$0","$27,000,000","2000","20001215","False Claims Act","","National Healthcare Corporation agreed to pay the United States $27 million to resolve allegations under the False Claims Act that beginning in 1991 the company submitted nursing home cost reports that falsely claimed that facility staff members spent more time caring for Medicare patients than they actually did in order to collect additional money from the federal health care program.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Tennessee","publicly traded","healthcare services","skilled nursing facilities","https://www.justice.gov/archive/opa/pr/2000/December/699civ.htm","","","","",""
